Country,Both,Male,Female,Code
India,46.6 [38.1-55.2],62.5 [51.2-73.8],30.8 [25.0-36.6],356
Indonesia,35.5 [27.1-43.8],64.8 [49.1-80.5],6.2 [5.1-7.2],360
Iran (Islamic Republic of),19.5 [15.5-23.4],32.5 [26.0-38.9],6.5 [5.0-8.0],
Iraq,20.9 [15.3-26.5],36.7 [27.1-46.3],5.1 [3.4-6.8],368
Ireland,30.9 [24.6-37.2],31.4 [25.1-37.6],30.4 [24.1-36.7],372
Israel,28.2 [23.2-33.1],35.9 [29.4-42.4],20.4 [17.0-23.8],376
Italy,25.2 [21.2-29.2],31.2 [26.2-36.2],19.3 [16.3-22.2],380
Jamaica,14.9 [9.7-20.1],22.7 [15.0-30.5],7.1 [4.5-9.7],388
Japan,29.4 [25.0-33.8],45.6 [38.9-52.3],13.3 [11.2-15.4],392
Jordan,32.3 [24.4-40.1],53.7 [41.1-66.3],10.8 [7.7-13.9],400
Kazakhstan,31.6 [25.7-37.4],52.6 [43.2-62.0],10.6 [8.3-12.9],398
Kenya,16.9 [13.4-20.4],28.7 [23.1-34.3],5.0 [3.6-6.4],404
Kiribati,60.5 [44.4-76.7],75.2 [58.0-92.3],45.9 [30.8-61.0],296
Kuwait,20.5 [15.9-17.2],36.9 [29.0-29.0],4.1 [2.9-5.4],414
Kyrgyzstan,29.6 [23.5-35.6],54.6 [42.5-66.7],4.5 [4.5-4.5],417
Lao People's Democratic Republic,44.2 [34.8-53.6],63.8 [51.6-75.9],24.6 [17.9-31.3],418
Latvia,42.4 [35.2-49.6],58.8 [49.3-68.2],26.0 [21.1-31.0],428
Lebanon,35.6 [27.7-43.6],41.5 [32.2-50.8],29.8 [23.2-36.4],422
Lesotho,29.4 [21.4-37.5],46.2 [35.3-57.1],12.7 [7.5-17.8],426
Liberia,14.6 [9.3-19.9],24.4 [15.6-33.2],4.8 [3.0-6.7],430
Lithuania,39.9 [31.9-47.8],54.9 [44.1-65.7],24.8 [19.8-29.9],440
Luxembourg,28.2 [22.9-33.4],32.4 [26.2-38.6],23.9 [19.5-28.3],442
Madagascar,43.9 [29.1-58.8],53.6 [36.5-70.7],34.2 [21.6-46.8],450
Malawi,19.4 [14.9-23.9],29.6 [23.0-36.2],9.2 [6.8-11.6],454
Malaysia,28.2 [22.2-34.2],52.9 [41.9-64.0],3.4 [2.5-4.3],458
Maldives,37.6 [26.7-48.5],55.1 [41.3-68.9],20.1 [12.1-28.2],462
Mali,14.0 [10.7-17.4],25.0 [19.1-30.8],3.1 [2.2-4.1],466
Malta,30.7 [25.1-36.4],37.3 [30.6-44.0],24.2 [19.6-28.8],470
Marshall Islands,27.8 [21.5-34.2],46.5 [36.2-56.8],9.2 [6.8-11.5],584
Mauritania,18.1 [13.0-23.1],30.8 [22.2-39.4],5.3 [3.7-6.8],478
Mauritius,24.1 [19.2-28.9],43.8 [35.0-52.6],4.3 [3.3-5.3],480
Mexico,20.6 [17.3-23.9],30.7 [25.8-35.5],10.6 [8.8-12.4],484
Mongolia,32.2 [25.1-39.3],56.1 [43.9-68.4],8.2 [6.3-10.1],496
Montenegro,36.7 [22.1-51.4],38.0 [23.4-52.5],35.5 [20.7-50.3],499
Morocco,18.3 [14.9-21.8],34.4 [28.2-40.5],2.2 [1.5-3.0],504
Myanmar,60.5 [49.1-71.9],79.8 [64.2-95.5],41.2 [34.1-48.4],104
Namibia,22.6 [18.1-27.1],31.0 [25.1-36.8],14.3 [11.0-17.5],516
Nauru,59.6 [46.9-72.2],55.2 [43.6-66.9],63.9 [50.2-77.5],520
Nepal,54.5 [45.1-63.8],67.5 [56.7-78.3],41.5 [33.6-49.4],524
Netherlands (Kingdom of the),30.7 [25.8-35.7],33.4 [28.3-38.6],28.0 [23.3-32.8],
New Zealand,24.8 [20.6-28.9],25.8 [21.7-29.9],23.8 [19.6-28.0],554
Niger,9.1 [6.4-11.7],15.9 [11.4-20.3],2.3 [1.4-3.1],562
Nigeria,8.1 [5.0-11.1],14.7 [9.2-20.2],1.4 [0.8-2.0],566
Norway,34.6 [29.2-39.9],35.7 [30.2-41.1],33.4 [28.1-38.8],578
Oman,7.7 [6.3-9.0],14.8 [12.2-17.3],0.6 [0.4-0.8],512
Pakistan,33.1 [25.5-40.8],50.3 [39.3-61.2],16.0 [11.6-20.4],586
Palau,23.6 [15.4-31.8],35.2 [22.5-47.9],12.1 [8.4-15.8],585
Panama,11.1 [8.8-13.5],18.0 [14.1-21.8],4.3 [3.4-5.2],591
Papua New Guinea,50.2 [37.9-62.5],67.0 [50.2-83.7],33.4 [25.6-41.2],598
Paraguay,23.2 [17.9-28.5],35.7 [27.7-43.7],10.7 [8.2-13.2],600
Peru,24.0 [16.3-31.7],38.7 [25.5-51.9],9.3 [7.0-11.6],604
Philippines,31.7 [26.1-37.4],52.0 [42.7-61.3],11.5 [9.5-13.5],608
