Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,Breast,004,Afghanistan,AFG,2,0,29.44
20,Breast,008,Albania,ALB,2,0,51.14
20,Breast,012,Algeria,DZA,2,0,61.87
20,Breast,024,Angola,AGO,2,0,29.43
20,Breast,031,Azerbaijan,AZE,2,0,32.9
20,Breast,032,Argentina,ARG,2,0,71.32
20,Breast,036,Australia,AUS,2,0,101.47
20,Breast,040,Austria,AUT,2,0,69.54
20,Breast,044,Bahamas,BHS,2,0,64.64
20,Breast,048,Bahrain,BHR,2,0,58.49
20,Breast,050,Bangladesh,BGD,2,0,15.18
20,Breast,051,Armenia,ARM,2,0,39.61
20,Breast,052,Barbados,BRB,2,0,57.74
20,Breast,056,Belgium,BEL,2,0,104.39
20,Breast,064,Bhutan,BTN,2,0,4.56
20,Breast,068,Bolivia,BOL,2,0,26.78
20,Breast,070,Bosnia Herzegovina,BIH,2,0,51.88
20,Breast,072,Botswana,BWA,2,0,23.03
20,Breast,076,Brazil,BRA,2,0,63.12
20,Breast,084,Belize,BLZ,2,0,46.75
20,Breast,090,Solomon Islands,SLB,2,0,49.18
20,Breast,096,Brunei Darussalam,BRN,2,0,50.16
20,Breast,100,Bulgaria,BGR,2,0,52.82
20,Breast,104,Myanmar,MMR,2,0,23.41
20,Breast,108,Burundi,BDI,2,0,25.32
20,Breast,112,Belarus,BLR,2,0,56.57
20,Breast,116,Cambodia,KHM,2,0,25.13
20,Breast,120,Cameroon,CMR,2,0,48.64
20,Breast,124,Canada,CAN,2,0,88.59
20,Breast,132,Cape Verde,CPV,2,0,23.4
20,Breast,140,Central African Republic,CAF,2,0,37.72
20,Breast,144,Sri Lanka,LKA,2,0,27.68
20,Breast,148,Chad,TCD,2,0,14.24
20,Breast,152,Chile,CHL,2,0,38.23
20,Breast,156,China,CHN,2,0,33.04
20,Breast,170,Colombia,COL,2,0,50.7
20,Breast,174,Comoros,COM,2,0,21.5
20,Breast,178,"Congo, Republic of",COG,2,0,26.85
20,Breast,180,"Congo, Democratic Republic of",COD,2,0,26.45
20,Breast,188,Costa Rica,CRI,2,0,37.53
20,Breast,191,Croatia,HRV,2,0,74.64
20,Breast,192,Cuba,CUB,2,0,47.24
20,Breast,196,Cyprus,CYP,2,0,104.75
20,Breast,203,Czechia,CZE,2,0,72.51
20,Breast,204,Benin,BEN,2,0,33.26
20,Breast,208,Denmark,DNK,2,0,95.42
20,Breast,214,Dominican Republic,DOM,2,0,53.39
20,Breast,218,Ecuador,ECU,2,0,39.46
20,Breast,222,El Salvador,SLV,2,0,39.65
20,Breast,226,Equatorial Guinea,GNQ,2,0,40.99
20,Breast,231,Ethiopia,ETH,2,0,40.81
20,Breast,232,Eritrea,ERI,2,0,37.78
20,Breast,233,Estonia,EST,2,0,63.06
20,Breast,242,Fiji,FJI,2,0,60.26
20,Breast,246,Finland,FIN,2,0,92.33
20,Breast,250,France (metropolitan),FRA,2,0,105.42
20,Breast,254,French Guyana,GUF,2,0,55.71
20,Breast,258,French Polynesia,PYF,2,0,71.91
20,Breast,262,Djibouti,DJI,2,0,38.06
20,Breast,266,Gabon,GAB,2,0,36.41
20,Breast,268,Georgia,GEO,2,0,49.04
20,Breast,270,The Republic of the Gambia,GMB,2,0,12.12
20,Breast,275,Gaza Strip and West Bank,PSE,2,0,46.33
20,Breast,276,Germany,DEU,2,0,77.02
20,Breast,288,Ghana,GHA,2,0,40.19
20,Breast,300,Greece,GRC,2,0,82.36
20,Breast,312,"France, Guadeloupe",GLP,2,0,66.41
20,Breast,316,Guam,GUM,2,0,44.15
20,Breast,320,Guatemala,GTM,2,0,28.35
20,Breast,324,Guinea,GIN,2,0,15.95
20,Breast,328,Guyana,GUY,2,0,52.6
